客户编号,客户姓名,证件类型,证件号码,出生日期,客户性别,婚姻状况,教育程度,客户职业,联系电话,电子邮件,居住状态,居住地址,银行卡号,开户银行,卡种代码,卡种名称,创建机构,创建柜员,创建日期,创建时间
180928475540,傅少,0,23108419990311110X,1999-03-11,1,2,2,1,15385501047,Dznmdhv@vip.sohu.com,3,黑龙江省黑河市向阳路3号,622309750850335463,中国工商银行,1,借记卡,18099754,2774,2011-05-06,03:09:22
080517577551,金蓓,0,130626197209071465,1972-09-07,1,1,2,0,13195306685,Llp_qCNx9@126.com,0,陕西省汉中市上海道744号,6226760262928710,中国建设银行(亚洲),2,贷记卡,08052522,9774,2013-04-06,00:55:52
240868629867,董胜男,0,610831199211098670,1992-11-09,0,1,2,6,15297311787,qSNJp0x7n8@sian.com.cn,3,安徽省滁州市蜀兴路1312号,6221772447916267,上海浦东发展银行,2,贷记卡,24087828,4558,2012-01-18,01:04:37
300486992194,朱承风,0,411403198810179810,1988-10-17,0,1,2,1,13813993848,927bP4iq-@189.cn,2,黑龙江省哈尔滨市体育广场25号,6217808923329740766,晋中市商业银行,1,借记卡,30047339,7814,2016-09-10,22:48:11
160508176051,任嵘,0,522623199603173149,1996-03-17,1,2,1,5,13981416754,GApb-l@263.net,4,北京市通州区解放东路1227号,6259787719761030,光大银行,2,贷记卡,16056991,8780,2015-03-19,19:12:19
161146933818,邹永莉,0,513330196703301606,1967-03-30,1,2,0,5,15874619952,52w2Jv@icloud.com,0,江西省吉安市秦蜀路5号,6283093963556915,辽阳银行,2,贷记卡,16119234,9446,2011-08-15,10:14:28
140738121679,章昊,0,522731199612034023,1996-12-03,1,1,3,6,19886870708,hKlcL21@aliyun.com,3,福建省泉州市海天路358号,6216198363611165358,中国农业银行,1,借记卡,14070139,0127,2011-10-27,22:43:18
450043383596,令狐安宁,0,621124196404061855,1964-04-06,0,1,0,2,15372586710,rN-3Lb@sian.com.cn,4,辽宁省朝阳市团结湖路5号,6223816199108868,中国建设银行(亚洲),2,贷记卡,45009165,8398,2013-04-01,03:51:04
310043435110,戴云广,0,350825198111156807,1981-11-15,1,2,1,4,17768104917,_1bjsFn8@163.com,1,山东省威海市府右街49号,6228829376942561733,尧都农村商业银行,1,借记卡,31009874,0893,2015-12-25,06:00:42
231591028057,王梦媛,0,210211200002173235,2000-02-17,0,1,2,2,18547072973,iAjyYx@189.cn,0,湖南省邵阳市民航路36号,6216002353920484851,厦门银行,1,借记卡,23156164,2530,2017-11-20,14:41:47
230425718849,窦晓林,0,431230198109067556,1981-09-06,0,0,2,4,17506299905,6qWjekM2K8@sohu.com,4,云南省文山市马列大道85号,6250878097615192,兴业银行,2,贷记卡,23042747,5010,2017-07-25,13:45:54
250603687315,傅小丽,0,542422198308281202,1983-08-28,1,0,2,0,14687335621,LUoZj6W@yeah.net,3,山东省莱芜市鼓楼南大街7号,6250022183153376,越南西贡商业银行,2,贷记卡,25061645,3007,2010-09-21,04:38:11
171547088790,董慧,0,450405197312234383,1973-12-23,1,0,4,1,13917243793,exNY4etztz@sian.com.cn,3,湖北省武汉市中大街331号,6217656272828497,中国工商银行新加坡分行,1,借记卡,17159573,7169,2016-04-15,02:38:17
061165561944,臧香,0,15252519840905991X,1984-09-05,0,1,2,2,15904128762,n8gULvW4@tom.com,2,黑龙江省大庆市迎泽大街5389号,6228026840599946,福建省农村信用社联合社,2,贷记卡,06115529,6043,2010-09-22,14:26:17
150328301945,庞故,0,430721196906213748,1969-06-21,1,2,2,3,15807355848,GhqSfDr5i@gmail.com,4,新疆维吾尔自治区博尔塔拉市人民西路4496号,6230984046815307657,丹东银行,1,借记卡,15039185,9727,2017-09-23,21:12:32
170916757205,袁森,0,371122196206217607,1962-06-21,1,2,2,5,15707257812,mC3oLnEfBs@outlook.com,0,广东省中山市安城街5号,6251969122146029,大丰银行,2,贷记卡,17091264,3751,2011-09-01,19:09:46
201218411977,熊光北,0,210402196712079273,1967-12-07,0,0,0,1,17636572691,ZYE50SOq@126.com,0,黑龙江省伊春市康城街641号,6214343531677972,中国工商银行金边分行,1,借记卡,20121863,2028,2015-03-04,15:24:04
191066120728,祁广,0,533103197211289960,1972-11-28,1,2,3,0,14827678478,2gThgpViD4@139.com,4,北京市怀柔区市府路992号,6229061097808251,湖南农村信用社联合社,2,贷记卡,19109567,9349,2013-12-27,19:50:28
290324482680,陈思奇,0,51332519741015970X,1974-10-15,1,1,2,4,15037302632,IAHDoWgC9@vip.sohu.com,2,河北省衡水市华城路4598号,621404033142967427,中国工商银行,1,借记卡,29037847,4743,2014-02-10,06:39:25
271251952048,岑晓琳,0,542228196902232233,1969-02-23,0,0,4,5,18441940868,FdnA-U@gmail.com,1,浙江省嘉兴市正阳路2687号,6205134082378502617,中国银行,4,预付费卡,27123080,1933,2016-01-16,07:22:12
260926887583,苏丽,0,110117197501225487,1975-01-22,1,2,0,3,18033497060,hbbYvVX@icloud.com,4,新疆维吾尔自治区和田市天化街427号,6214286894869399,中国工商银行金边分行,1,借记卡,26092145,3767,2012-09-07,23:04:44
191365392363,邵琳,0,140201199502027027,1995-02-02,1,1,4,6,14590758522,jevYTY@vip.sina.com,1,浙江省台州市站前街5755号,6224921988474163,星展银行(香港),1,借记卡,19131033,5482,2017-04-26,03:38:10
261045902379,卫小蓉,0,230111197702124497,1977-02-12,0,2,3,1,18914175027,cALTU90@aliyun.com,1,安徽省六安市嵩阳街67号,9400726667227547,潍坊银行,1,借记卡,26103093,9580,2010-01-06,15:46:38
090972949787,罗涟,0,440901198902079461,1989-02-07,1,2,1,1,13339545963,SmqLIIhiGb@126.com,1,陕西省西安市马列大道83号,6210573805719572511,凉山州商业银行,1,借记卡,09093157,2841,2016-08-11,03:56:29
060622817292,袁建生,0,421301199909032403,1999-09-03,1,0,1,4,15502431247,LeipTcHncp@yeah.net,3,云南省楚雄市和平大道9号,6250449469600707,南洋商业银行,2,贷记卡,06061950,5218,2010-01-23,11:39:54
380362476487,皇甫冰,0,130981198404124337,1984-04-12,0,1,3,3,15322585420,uOlqOp-fmU@yeah.net,0,安徽省六安市归化路93号,6221542107418891739,成都银行,1,借记卡,38035547,4687,2010-04-22,01:29:56
301419277318,郝帅,0,140224196911283313,1969-11-28,0,2,1,2,18626984705,3VWssIKps@gmail.com,1,安徽省滁州市府右街6298号,6217506141160830,中国工商银行马德里分行,1,借记卡,30143421,5752,2015-02-11,17:56:35
300733164670,苏剑博,0,320111196107118401,1961-07-11,1,2,4,2,18103148609,POdr2Tx@wo.com.cn,0,黑龙江省双鸭山市鼓楼北大街8号,6223981094837258,葫芦岛市商业银行,1,借记卡,30074095,9760,2011-03-17,03:45:02
